,,,,,,,language,,
H1931,1093,hûwʼ,hey-aleph,הא,he,a,Southern Sotho,הוא,a.mp3
H636,1363,ʼâʻ,ayin-tsade,עצ,tree,ʼâʻ,Hebrew,אע,
H1931,1093,hûwʼ,hey-aleph,הא,she,a ,Southern Sotho,הוא,a .mp3
H7200,1438,râʼâh,resh-aleph,רא,behold,a re,Southern Sotho,ראה,a re.mp3
H7200,1438,râʼâh,resh-aleph,רא,call attention to something said,a re,Southern Sotho,ראה,a re.mp3
H2329,1164,chûwg,hhet-gimel,חג,clock,aago,Yoruba,חוג, 
H7301,1442,râwâh,resh-hey,רה,beer,aalwaa,Nyamwezi,רוה, 
H5674,2520,ʻâbar,ayin-beyt-resh,עבר,crossover,aambuka,Bukusu,עבר, 
H6031,1359,ʻânâh,ayin-nun,ענ,cry,aana,Bukusu,ענה, 
H6031,1359,ʻânâh,ayin-nun,ענ,wail,aana,Bukusu,ענה, 
H2587,1175,channûwn,hhet-nun,חנ,compassion,aanu,Yoruba,חנון, 
H2587,1175,channûwn,hhet-nun,חנ,pity,aanu,Yoruba,חנון, 
H2580,1175,chên,hhet-nun,חנ,grace,aanu,Yoruba,חן, 
H2580,1175,chên,hhet-nun,חנ,mercy,aanu,Yoruba,חן, 
H2646,1178,chuppâh,hhet-pey,חפ,bag,aapo,Yoruba,חפה, 
H7489,1460,râʻaʻ,resh-ayin,רע,break in pieces,aara,Bukusu,רעע, 
H8376,1484,tâʼâh,tav-aleph,תא,point,aaye,Yoruba,תאה, 
H2336,1169,chôwach,hhet-hhet,חח,point,aaye,Yoruba,חוח, 
H184,1006,ʼâwâh,aleph-waw,או,point,aaye,Yoruba,אוה,
H184,1006,ʼâwâh,aleph-waw,או,point,aaye,Yoruba,אוה,
H5646,1347,ʻâb,ayin-beyt,עב,architrave,ʻâb,Hebrew,עב,
H5645,1508,ʻâb,ayin-beyt,עב,envelope,ʻâb,Hebrew,עב,
H1,1002,ʼâb,aleph-bet,אב,prince,ʼâb,Hebrew,אב,
H559,1288,ʼâmar,mem-lamed,מל,speak,aba,Pedi,אמר,aba.mp3
H3053,1094,yᵉhâb,hey-beyt,הב,given,aba,Southern Sotho,יהב,aba.mp3
H3051,1094,yâhab,hey-beyt,הב,distribute,aba,Southern Sotho,יהב,aba.mp3
